Year,Arizona Diamondbacks,Atlanta Braves,Baltimore Orioles,Boston Red Sox,Chicago Cubs,Chicago White Sox,Cincinnati Reds,Cleveland Indians,Colorado Rockies,Detroit Tigers,Houston Astros,Kansas City Royals,Los Angeles Angels,Los Angeles Dodgers,Miami Marlins,Milwaukee Brewers,Minnesota Twins,New York Mets,New York Yankees,Oakland Athletics,Philadelphia Phillies,Pittsburgh Pirates,San Diego Padres,San Francisco Giants,Seattle Mariners,St. Louis Cardinals,Tampa Bay Rays,Texas Rangers,Toronto Blue Jays,Washington Nationals
1998,29.16,59.54,70.41,51.65,49.38,36.84,22.0,59.03,47.43,22.63,40.63,32.91,38.54,47.97,33.43,32.25,26.18,49.56,63.16,20.06,36.09,13.75,45.37,40.32,52.03,52.57,25.32,54.7,48.42,9.2
1999,70.37,75.07,70.82,71.72,55.37,24.55,42.14,73.85,54.39,34.96,55.29,16.53,49.89,71.14,15.15,42.93,16.36,71.33,88.13,24.15,30.52,24.22,45.93,46.06,44.37,46.25,37.81,81.3,48.17,16.36
2000,77.88,82.73,83.14,81.21,62.13,31.16,44.22,76.51,64.13,61.74,52.36,23.13,55.77,90.73,19.87,35.78,15.65,79.76,92.94,32.12,46.95,29.56,54.97,53.54,59.22,63.99,64.41,70.79,46.36,33.53
2001,85.25,91.94,74.28,109.68,64.52,65.63,48.78,92.66,71.54,49.36,60.39,35.42,47.74,109.11,35.56,45.1,24.13,93.67,112.29,33.81,41.66,57.76,38.88,63.28,74.72,78.33,56.98,88.63,76.9,34.85
2002,102.82,93.47,60.49,108.37,75.69,57.05,45.05,78.91,56.85,55.05,63.45,47.26,61.72,94.85,41.98,50.29,40.23,94.63,125.93,40.0,57.96,42.32,41.43,78.3,80.28,74.66,34.38,105.73,76.86,38.67
2003,80.64,106.24,73.88,99.95,79.87,51.01,59.36,45.58,67.18,49.17,71.04,40.52,79.03,105.87,49.05,40.63,55.51,117.18,152.75,50.26,70.78,54.81,47.93,82.85,86.96,83.49,19.63,103.49,51.27,51.95
2004,69.78,90.18,51.62,127.3,90.56,65.21,46.62,34.32,65.45,46.83,75.4,47.61,100.53,92.9,42.14,27.53,53.59,96.66,184.19,59.43,93.22,32.23,55.38,82.02,81.52,83.23,29.56,55.05,50.02,41.2
2005,62.33,86.46,73.91,123.51,87.03,75.18,61.89,41.5,48.16,69.09,76.78,36.88,97.73,83.04,60.41,39.93,56.19,101.31,208.31,55.43,95.52,38.13,63.29,90.2,87.75,92.11,29.68,55.85,45.72,48.58
2006,59.68,90.16,72.59,120.1,94.42,102.75,60.91,56.03,41.23,82.61,92.55,47.29,103.47,98.45,15.0,57.57,63.4,101.08,194.66,62.24,88.27,46.72,69.9,90.06,87.96,88.89,35.42,68.23,71.92,63.14
2007,52.07,87.29,93.17,143.03,99.67,108.67,68.52,61.67,54.04,94.8,87.76,67.12,109.25,108.45,30.51,70.99,71.44,115.23,189.26,79.37,89.43,38.54,58.11,90.22,106.46,90.29,24.12,68.32,81.94,36.95
2008,66.2,102.37,67.2,133.39,118.35,121.19,74.12,78.97,68.66,137.69,88.93,58.25,119.22,118.59,21.81,80.94,56.93,137.79,209.08,47.97,98.27,48.69,73.68,76.59,117.67,99.62,43.82,67.71,97.79,54.96
2009,73.52,96.73,67.1,121.75,134.81,96.07,73.56,81.58,75.2,115.09,103.0,70.52,113.71,100.41,36.83,80.18,65.3,149.37,201.45,62.31,113.0,48.69,43.73,82.62,98.9,77.61,63.31,68.18,80.54,60.33
2010,60.72,84.42,81.61,162.75,146.86,108.27,72.39,61.2,84.23,122.86,92.36,72.27,105.01,94.95,55.64,81.11,97.56,132.7,206.33,51.65,141.93,34.94,37.8,97.83,98.38,93.54,71.92,55.25,62.69,61.43
2011,53.64,87.0,85.3,161.76,125.05,127.79,75.95,49.19,88.15,105.7,70.69,36.13,138.54,104.19,56.94,85.5,112.74,118.85,202.69,66.54,172.98,45.05,45.87,118.2,86.52,105.43,41.05,92.3,62.57,63.86
2012,74.28,83.31,81.43,173.19,88.2,96.92,82.2,78.43,78.07,132.3,60.65,60.92,154.49,95.14,118.08,97.65,94.09,93.35,197.96,55.37,174.54,63.43,55.24,81.98,117.62,110.3,64.17,120.51,75.49,81.34
2013,90.16,89.29,91.79,158.97,104.15,124.07,110.57,82.52,75.45,149.05,24.33,80.49,142.17,216.3,39.62,91.0,75.56,88.88,229.0,68.58,159.58,66.29,71.69,142.18,84.3,116.7,57.03,127.2,118.24,112.43
2014,112.69,110.9,107.41,162.82,89.01,91.16,112.39,82.53,95.83,162.23,44.54,92.03,155.69,235.3,47.57,103.84,85.78,89.05,203.81,83.4,180.05,78.11,90.09,154.19,92.08,111.02,77.06,136.04,132.63,134.7
2015,65.77,89.62,118.86,168.69,117.16,110.71,117.73,87.75,98.26,172.79,69.06,112.91,146.45,230.35,84.64,98.68,108.26,100.13,213.47,80.79,133.05,85.89,126.62,166.5,123.23,120.3,74.85,144.82,116.42,174.51
2016,98.66,84.82,147.94,199.86,167.44,116.0,93.17,98.01,113.24,199.53,96.64,137.61,166.83,253.64,70.46,62.96,104.59,130.61,227.85,85.82,103.35,99.96,100.55,171.46,145.0,149.19,64.12,161.25,140.58,146.69
2017,90.73,137.34,161.68,174.29,170.09,109.59,82.38,115.99,101.51,180.25,127.44,132.09,143.97,187.99,115.35,61.02,100.79,176.28,170.39,70.6,87.42,94.64,34.57,176.53,155.21,146.63,69.98,178.43,162.35,162.74
